rank,surname,count,source_site,source_url
1,Müller,945404,zunamen.com,https://zunamen.com/land/deutschland/m
2,Schmidt,711024,zunamen.com,https://zunamen.com/land/deutschland/s
3,Schneider,436230,zunamen.com,https://zunamen.com/land/deutschland/s
4,Fischer,372558,zunamen.com,https://zunamen.com/land/deutschland/f
5,Weber,325733,zunamen.com,https://zunamen.com/land/deutschland/w
6,Meyer,323771,zunamen.com,https://zunamen.com/land/deutschland/m
7,Wagner,298283,zunamen.com,https://zunamen.com/land/deutschland/w
8,Becker,279689,zunamen.com,https://zunamen.com/land/deutschland/b
9,Schulz,278306,zunamen.com,https://zunamen.com/land/deutschland/s
10,Hoffmann,275089,zunamen.com,https://zunamen.com/land/deutschland/h
11,Koch,229729,zunamen.com,https://zunamen.com/land/deutschland/k
12,Richter,228926,zunamen.com,https://zunamen.com/land/deutschland/r
13,Bauer,224180,zunamen.com,https://zunamen.com/land/deutschland/b
14,Schäfer,222673,zunamen.com,https://zunamen.com/land/deutschland/s
15,Klein,199652,zunamen.com,https://zunamen.com/land/deutschland/k
16,Wolf,194405,zunamen.com,https://zunamen.com/land/deutschland/w
17,Schröder,188859,zunamen.com,https://zunamen.com/land/deutschland/s
18,Neumann,179675,zunamen.com,https://zunamen.com/land/deutschland/n
19,Schwarz,166126,zunamen.com,https://zunamen.com/land/deutschland/s
20,Braun,164772,zunamen.com,https://zunamen.com/land/deutschland/b
21,Zimmermann,162733,zunamen.com,https://zunamen.com/land/deutschland/z
22,Hofmann,159110,zunamen.com,https://zunamen.com/land/deutschland/h
23,Lange,159049,zunamen.com,https://zunamen.com/land/deutschland/l
24,Hartmann,155025,zunamen.com,https://zunamen.com/land/deutschland/h
25,Krüger,154907,zunamen.com,https://zunamen.com/land/deutschland/k
26,Krause,150983,zunamen.com,https://zunamen.com/land/deutschland/k
27,Lehmann,149628,zunamen.com,https://zunamen.com/land/deutschland/l
28,Schmitz,148465,zunamen.com,https://zunamen.com/land/deutschland/s
29,Schmitt,147644,zunamen.com,https://zunamen.com/land/deutschland/s
30,Meier,147597,zunamen.com,https://zunamen.com/land/deutschland/m
31,Werner,145307,zunamen.com,https://zunamen.com/land/deutschland/w
32,Schmid,141065,zunamen.com,https://zunamen.com/land/deutschland/s
33,Schulze,137553,zunamen.com,https://zunamen.com/land/deutschland/s
34,Maier,134372,zunamen.com,https://zunamen.com/land/deutschland/m
35,Herrmann,130093,zunamen.com,https://zunamen.com/land/deutschland/h
36,Mayer,125624,zunamen.com,https://zunamen.com/land/deutschland/m
37,Köhler,125507,zunamen.com,https://zunamen.com/land/deutschland/k
38,König,125182,zunamen.com,https://zunamen.com/land/deutschland/k
39,Walter,124822,zunamen.com,https://zunamen.com/land/deutschland/w
40,Huber,122614,zunamen.com,https://zunamen.com/land/deutschland/h
41,Kaiser,121904,zunamen.com,https://zunamen.com/land/deutschland/k
42,Peters,121871,zunamen.com,https://zunamen.com/land/deutschland/p
43,Fuchs,117637,zunamen.com,https://zunamen.com/land/deutschland/f
44,Möller,113584,zunamen.com,https://zunamen.com/land/deutschland/m
