place_name,state,population,rank
Berlin,Berlin,3685265,1
Hamburg,Hamburg,1862565,2
München,Bayern,1505005,3
Köln,Nordrhein-Westfalen,1024621,4
Frankfurt am Main,Hessen,756021,5
Düsseldorf,Nordrhein-Westfalen,618685,6
Stuttgart,Baden-Württemberg,612663,7
Leipzig,Sachsen,611850,8
Dortmund,Nordrhein-Westfalen,603462,9
Bremen,Bremen,586271,10
Essen,Nordrhein-Westfalen,574682,11
Dresden,Sachsen,564904,12
Nürnberg,Bayern,529508,13
Hannover,Niedersachsen,522131,14
Duisburg,Nordrhein-Westfalen,502270,15
Bochum,Nordrhein-Westfalen,358676,16
Wuppertal,Nordrhein-Westfalen,358193,17
Bielefeld,Nordrhein-Westfalen,331605,18
Bonn,Nordrhein-Westfalen,323336,19
"Mannheim, Universitätsstadt",Baden-Württemberg,318035,20
Karlsruhe,Baden-Württemberg,309050,21
Münster,Nordrhein-Westfalen,308258,22
Augsburg,Bayern,301105,23
Wiesbaden,Hessen,288850,24
Gelsenkirchen,Nordrhein-Westfalen,267930,25
Mönchengladbach,Nordrhein-Westfalen,267213,26
Aachen,Nordrhein-Westfalen,262670,27
Braunschweig,Niedersachsen,252962,28
Kiel,Schleswig-Holstein,252668,29
Chemnitz,Sachsen,245618,30
Magdeburg,Sachsen-Anhalt,244329,31
Freiburg im Breisgau,Baden-Württemberg,237460,32
Krefeld,Nordrhein-Westfalen,231406,33
Halle (Saale),Sachsen-Anhalt,226767,34
Mainz,Rheinland-Pfalz,224684,35
Erfurt,Thüringen,218793,36
Lübeck,Schleswig-Holstein,216889,37
Oberhausen,Nordrhein-Westfalen,213646,38
"Rostock, Hanse- und Universitätsstadt",Mecklenburg-Vorpommern,205307,39
"Kassel, documenta-Stadt",Hessen,197230,40
"Hagen, Stadt der FernUniversität",Nordrhein-Westfalen,190384,41
Potsdam,Brandenburg,184754,42
Saarbrücken,Saarland,182971,43
Hamm,Nordrhein-Westfalen,179968,44
Ludwigshafen am Rhein,Rheinland-Pfalz,177222,45
Oldenburg (Oldb),Niedersachsen,176614,46
Mülheim an der Ruhr,Nordrhein-Westfalen,173050,47
Leverkusen,Nordrhein-Westfalen,168581,48
"Darmstadt, Wissenschaftsstadt",Hessen,167029,49
Osnabrück,Niedersachsen,166057,50
"Solingen, Klingenstadt",Nordrhein-Westfalen,165626,51
Paderborn,Nordrhein-Westfalen,156378,52
Herne,Nordrhein-Westfalen,155851,53
Heidelberg,Baden-Württemberg,155756,54
Neuss,Nordrhein-Westfalen,154317,55
Regensburg,Bayern,151389,56
Ingolstadt,Bayern,141185,57
Pforzheim,Baden-Württemberg,134912,58
Würzburg,Bayern,133258,59
Offenbach am Main,Hessen,132746,60
Fürth,Bayern,132036,61
"Heilbronn, Universitätsstadt",Baden-Württemberg,131986,62
"Ulm, Universitätsstadt",Baden-Württemberg,129882,63
Wolfsburg,Niedersachsen,129560,64
Göttingen,Niedersachsen,127259,65
Reutlingen,Baden-Württemberg,118852,66
Bremerhaven,Bremen,118610,67
Bottrop,Nordrhein-Westfalen,118535,68
Erlangen,Bayern,115928,69
Recklinghausen,Nordrhein-Westfalen,115344,70
Remscheid,Nordrhein-Westfalen,113828,71
Koblenz,Rheinland-Pfalz,113378,72
Bergisch Gladbach,Nordrhein-Westfalen,111361,73
Jena,Thüringen,109725,74
Salzgitter,Niedersachsen,104970,75
Trier,Rheinland-Pfalz,104342,76
"Siegen, Universitätsstadt",Nordrhein-Westfalen,102685,77
Moers,Nordrhein-Westfalen,101503,78
Gütersloh,Nordrhein-Westfalen,100479,79
Kaiserslautern,Rheinland-Pfalz,100426,80
Hildesheim,Niedersachsen,98510,81
Schwerin,Mecklenburg-Vorpommern,98308,82
"Hanau, Brüder-Grimm-Stadt",Hessen,97956,83
Flensburg,Schleswig-Holstein,96326,84
Esslingen am Neckar,Baden-Württemberg,96182,85
Gera,Thüringen,95608,86
Cottbus/Chóśebuz,Brandenburg,95123,87
Düren,Nordrhein-Westfalen,94568,88
Ludwigsburg,Baden-Württemberg,92858,89
"Tübingen, Universitätsstadt",Baden-Württemberg,92322,90
Iserlohn,Nordrhein-Westfalen,91811,91
Witten,Nordrhein-Westfalen,91808,92
Villingen-Schwenningen,Baden-Württemberg,89756,93
Ratingen,Nordrhein-Westfalen,89368,94
"Gießen, Universitätsstadt",Hessen,89179,95
"Zwickau, Stadt, Hochschulstadt",Sachsen,87410,96
"Konstanz, Universitätsstadt",Baden-Württemberg,86919,97
Marl,Nordrhein-Westfalen,86766,98
Worms,Rheinland-Pfalz,86753,99
Lünen,Nordrhein-Westfalen,86163,100
Minden,Nordrhein-Westfalen,84013,101
Norderstedt,Schleswig-Holstein,82844,102
Velbert,Nordrhein-Westfalen,82463,103
Delmenhorst,Niedersachsen,81406,104
Neumünster,Schleswig-Holstein,79809,105
Viersen,Nordrhein-Westfalen,78373,106
Rheine,Nordrhein-Westfalen,77209,107
Bamberg,Bayern,77150,108
Troisdorf,Nordrhein-Westfalen,75901,109
Wilhelmshaven,Niedersachsen,75745,110
Gladbeck,Nordrhein-Westfalen,75499,111
Dessau-Roßlau,Sachsen-Anhalt,75402,112
Dorsten,Nordrhein-Westfalen,75277,113
Arnsberg,Nordrhein-Westfalen,74879,114
Lüneburg,Niedersachsen,74785,115
Detmold,Nordrhein-Westfalen,74278,116
Brandenburg an der Havel,Brandenburg,74113,117
"Marburg, Universitätsstadt",Hessen,73544,118
Castrop-Rauxel,Nordrhein-Westfalen,73282,119
Bocholt,Nordrhein-Westfalen,73257,120
Aschaffenburg,Bayern,73091,121
Bayreuth,Bayern,72940,122
Landshut,Bayern,71863,123
Lüdenscheid,Nordrhein-Westfalen,71212,124
Lippstadt,Nordrhein-Westfalen,68739,125
Kempten (Allgäu),Bayern,67645,126
Aalen,Baden-Württemberg,67621,127
Herford,Nordrhein-Westfalen,67503,128
Neuwied,Rheinland-Pfalz,67083,129
Dinslaken,Nordrhein-Westfalen,66993,130
Celle,Niedersachsen,66834,131
"Kerpen, Kolpingstadt",Nordrhein-Westfalen,66585,132
Grevenbroich,Nordrhein-Westfalen,65983,133
Weimar,Thüringen,65954,134
Rüsselsheim am Main,Hessen,65627,135
"Plauen, Stadt, Hochschulstadt",Sachsen,65599,136
Fulda,Hessen,65434,137
Rosenheim,Bayern,65274,138
Schwäbisch Gmünd,Baden-Württemberg,64416,139
Dormagen,Nordrhein-Westfalen,63799,140
Offenburg,Baden-Württemberg,62993,141
Friedrichshafen,Baden-Württemberg,62796,142
"Neu-Ulm, GKSt",Bayern,62641,143
Hürth,Nordrhein-Westfalen,62160,144
Bergheim,Nordrhein-Westfalen,61611,145
Sindelfingen,Baden-Württemberg,61422,146
Herten,Nordrhein-Westfalen,60941,147
Wesel,Nordrhein-Westfalen,60785,148
"Neubrandenburg, Vier-Tore-Stadt",Mecklenburg-Vorpommern,60344,149
Euskirchen,Nordrhein-Westfalen,60021,150
Langenfeld (Rheinland),Nordrhein-Westfalen,59975,151
Garbsen,Niedersachsen,59903,152
Göppingen,Baden-Württemberg,58937,153
Unna,Nordrhein-Westfalen,58333,154
Hameln,Niedersachsen,58244,155
"Stolberg (Rhld.), Kupferstadt",Nordrhein-Westfalen,57684,156
Eschweiler,Nordrhein-Westfalen,57534,157
Waiblingen,Baden-Württemberg,57313,158
Frankfurt (Oder),Brandenburg,57107,159
Meerbusch,Nordrhein-Westfalen,57078,160
Nordhorn,Niedersachsen,56973,161
Baden-Baden,Baden-Württemberg,56881,162
Bad Homburg v. d. Höhe,Hessen,56688,163
Sankt Augustin,Nordrhein-Westfalen,56521,164
Lingen (Ems),Niedersachsen,56498,165
Pulheim,Nordrhein-Westfalen,56150,166
"Greifswald, Universitäts- und Hansestadt",Mecklenburg-Vorpommern,56092,167
"Görlitz, Stadt, Hochschulstadt",Sachsen,55186,168
Hilden,Nordrhein-Westfalen,55157,169
Wetzlar,Hessen,54665,170
Schweinfurt,Bayern,54481,171
Bad Kreuznach,Rheinland-Pfalz,54168,172
Langenhagen,Niedersachsen,54142,173
Stralsund,Mecklenburg-Vorpommern,54094,174
Bad Salzuflen,Nordrhein-Westfalen,53958,175
Hattingen,Nordrhein-Westfalen,53044,176
Passau,Bayern,53039,177
Kleve,Nordrhein-Westfalen,53028,178
Neustadt an der Weinstraße,Rheinland-Pfalz,52945,179
Ahlen,Nordrhein-Westfalen,52666,180
Wolfenbüttel,Niedersachsen,52604,181
Frechen,Nordrhein-Westfalen,52309,182
Menden (Sauerland),Nordrhein-Westfalen,52255,183
Ibbenbüren,Nordrhein-Westfalen,51803,184
Böblingen,Baden-Württemberg,51483,185
Lörrach,Baden-Württemberg,51349,186
Elmshorn,Schleswig-Holstein,51342,187
Gummersbach,Nordrhein-Westfalen,51290,188
Peine,Niedersachsen,50987,189
Lahr/Schwarzwald,Baden-Württemberg,50775,190
Rastatt,Baden-Württemberg,50741,191
Ravensburg,Baden-Württemberg,50628,192
Bad Oeynhausen,Nordrhein-Westfalen,50620,193
Heidenheim an der Brenz,Baden-Württemberg,50618,194
Gronau (Westf.),Nordrhein-Westfalen,50547,195
Cuxhaven,Niedersachsen,49697,196
Speyer,Rheinland-Pfalz,49564,197
Leonberg,Baden-Württemberg,49480,198
Willich,Nordrhein-Westfalen,49413,199
Emden,Niedersachsen,49202,200
Bergkamen,Nordrhein-Westfalen,49143,201
Oranienburg,Brandenburg,49122,202
Straubing,Bayern,49002,203
"Freising, GKSt",Bayern,48928,204
Alsdorf,Nordrhein-Westfalen,48810,205
Erftstadt,Nordrhein-Westfalen,48772,206
Stade,Niedersachsen,48633,207
Herzogenrath,Nordrhein-Westfalen,48574,208
Landau in der Pfalz,Rheinland-Pfalz,48209,209
Bornheim,Nordrhein-Westfalen,48203,210
Hennef (Sieg),Nordrhein-Westfalen,48188,211
Frankenthal (Pfalz),Rheinland-Pfalz,48140,212
Rheda-Wiedenbrück,Nordrhein-Westfalen,48030,213
Dülmen,Nordrhein-Westfalen,47989,214
Bruchsal,Baden-Württemberg,47784,215
Soest,Nordrhein-Westfalen,47776,216
Singen (Hohentwiel),Baden-Württemberg,47621,217
Goslar,Niedersachsen,47419,218
"Neunkirchen, Kreisstadt",Saarland,47344,219
"Dachau, GKSt",Bayern,47138,220
Fellbach,Baden-Württemberg,47120,221
Albstadt,Baden-Württemberg,46950,222
Hof,Bayern,46778,223
Oberursel (Taunus),Hessen,46736,224
Melle,Niedersachsen,46436,225
Gotha,Thüringen,46400,226
Bünde,Nordrhein-Westfalen,46365,227
Filderstadt,Baden-Württemberg,46243,228
Kaufbeuren,Bayern,46193,229
Weinheim,Baden-Württemberg,45852,230
"Schwerte, Hansestadt an der Ruhr",Nordrhein-Westfalen,45821,231
Falkensee,Brandenburg,45720,232
Rottenburg am Neckar,Baden-Württemberg,45677,233
Brühl,Nordrhein-Westfalen,45555,234
Erkelenz,Nordrhein-Westfalen,45315,235
Rodgau,Hessen,45277,236
"Wittenberg, Lutherstadt",Sachsen-Anhalt,45249,237
Pinneberg,Schleswig-Holstein,44865,238
Neustadt am Rübenberge,Niedersachsen,44668,239
Bernau bei Berlin,Brandenburg,44597,240
Lehrte,Niedersachsen,44255,241
Memmingen,Bayern,44192,242
Seevetal,Niedersachsen,44158,243
"Erkrath, Fundort des Neanderthalers",Nordrhein-Westfalen,43706,244
Monheim am Rhein,Nordrhein-Westfalen,43630,245
Bietigheim-Bissingen,Baden-Württemberg,43556,246
"Homburg, Kreisstadt",Saarland,43382,247
Wismar,Mecklenburg-Vorpommern,43329,248
Kaarst,Nordrhein-Westfalen,43295,249
Heinsberg,Nordrhein-Westfalen,43163,250
Borken,Nordrhein-Westfalen,43035,251
Gifhorn,Niedersachsen,42726,252
Aurich,Niedersachsen,42612,253
Schwäbisch Hall,Baden-Württemberg,42598,254
Amberg,Bayern,42553,255
Siegburg,Nordrhein-Westfalen,42445,256
Weiden i.d.OPf.,Bayern,42444,257
Kamen,Nordrhein-Westfalen,42319,258
Kirchheim unter Teck,Baden-Württemberg,42299,259
Nettetal,Nordrhein-Westfalen,41955,260
Laatzen,Niedersachsen,41838,261
Buchholz in der Nordheide,Niedersachsen,41737,262
Dreieich,Hessen,41692,263
Schorndorf,Baden-Württemberg,41647,264
"Freiberg, Stadt, Universitätsstadt",Sachsen,41519,265
Eberswalde,Brandenburg,41481,266
Wunstorf,Niedersachsen,41211,267
Hückelhoven,Nordrhein-Westfalen,41192,268
Leinfelden-Echterdingen,Baden-Württemberg,41185,269
Bensheim,Hessen,41124,270
"Neumarkt i.d.OPf., GKSt",Bayern,41103,271
Coburg,Bayern,41064,272
Völklingen,Saarland,40952,273
"Germering, GKSt",Bayern,40916,274
Buxtehude,Niedersachsen,40886,275
Schwabach,Bayern,40835,276
Löhne,Nordrhein-Westfalen,40826,277
Nürtingen,Baden-Württemberg,40773,278
Nordhausen,Thüringen,40767,279
Eisenach,Thüringen,40747,280
Ansbach,Bayern,40742,281
Königswinter,Nordrhein-Westfalen,40574,282
Ahaus,Nordrhein-Westfalen,40176,283
