rank,given_name,aggregated_count,source_datasets,source_urls
1,Emilia,1896,Jena Open Data | Leipzig Open Data | Muenchen Open Data,https://opendata.jena.de/dataset/vornamen | https://opendata.leipzig.de/dataset/?page=1 | https://opendata.muenchen.de/dataset/vornamen-von-neugeborenen
2,Emma,1823,Jena Open Data | Leipzig Open Data | Muenchen Open Data,https://opendata.jena.de/dataset/vornamen | https://opendata.leipzig.de/dataset/?page=1 | https://opendata.muenchen.de/dataset/vornamen-von-neugeborenen
3,Maximilian,1819,Jena Open Data | Leipzig Open Data | Muenchen Open Data,https://opendata.jena.de/dataset/vornamen | https://opendata.leipzig.de/dataset/?page=1 | https://opendata.muenchen.de/dataset/vornamen-von-neugeborenen
4,Anna,1588,Jena Open Data | Leipzig Open Data | Muenchen Open Data,https://opendata.jena.de/dataset/vornamen | https://opendata.leipzig.de/dataset/?page=1 | https://opendata.muenchen.de/dataset/vornamen-von-neugeborenen
5,Felix,1510,Jena Open Data | Leipzig Open Data | Muenchen Open Data,https://opendata.jena.de/dataset/vornamen | https://opendata.leipzig.de/dataset/?page=1 | https://opendata.muenchen.de/dataset/vornamen-von-neugeborenen
6,Charlotte,1403,Jena Open Data | Leipzig Open Data | Muenchen Open Data,https://opendata.jena.de/dataset/vornamen | https://opendata.leipzig.de/dataset/?page=1 | https://opendata.muenchen.de/dataset/vornamen-von-neugeborenen
7,Sophia,1396,Jena Open Data | Leipzig Open Data | Muenchen Open Data,https://opendata.jena.de/dataset/vornamen | https://opendata.leipzig.de/dataset/?page=1 | https://opendata.muenchen.de/dataset/vornamen-von-neugeborenen
8,Marie,1377,Jena Open Data | Leipzig Open Data | Muenchen Open Data,https://opendata.jena.de/dataset/vornamen | https://opendata.leipzig.de/dataset/?page=1 | https://opendata.muenchen.de/dataset/vornamen-von-neugeborenen
9,Paul,1368,Jena Open Data | Leipzig Open Data | Muenchen Open Data,https://opendata.jena.de/dataset/vornamen | https://opendata.leipzig.de/dataset/?page=1 | https://opendata.muenchen.de/dataset/vornamen-von-neugeborenen
10,Mia,1355,Jena Open Data | Leipzig Open Data | Muenchen Open Data,https://opendata.jena.de/dataset/vornamen | https://opendata.leipzig.de/dataset/?page=1 | https://opendata.muenchen.de/dataset/vornamen-von-neugeborenen
11,Noah,1306,Jena Open Data | Leipzig Open Data | Muenchen Open Data,https://opendata.jena.de/dataset/vornamen | https://opendata.leipzig.de/dataset/?page=1 | https://opendata.muenchen.de/dataset/vornamen-von-neugeborenen
12,Jakob,1277,Jena Open Data | Leipzig Open Data | Muenchen Open Data,https://opendata.jena.de/dataset/vornamen | https://opendata.leipzig.de/dataset/?page=1 | https://opendata.muenchen.de/dataset/vornamen-von-neugeborenen
13,Leon,1242,Jena Open Data | Leipzig Open Data | Muenchen Open Data,https://opendata.jena.de/dataset/vornamen | https://opendata.leipzig.de/dataset/?page=1 | https://opendata.muenchen.de/dataset/vornamen-von-neugeborenen
14,Anton,1231,Jena Open Data | Leipzig Open Data | Muenchen Open Data,https://opendata.jena.de/dataset/vornamen | https://opendata.leipzig.de/dataset/?page=1 | https://opendata.muenchen.de/dataset/vornamen-von-neugeborenen
15,Clara,1224,Jena Open Data | Leipzig Open Data | Muenchen Open Data,https://opendata.jena.de/dataset/vornamen | https://opendata.leipzig.de/dataset/?page=1 | https://opendata.muenchen.de/dataset/vornamen-von-neugeborenen
16,Emil,1202,Jena Open Data | Leipzig Open Data | Muenchen Open Data,https://opendata.jena.de/dataset/vornamen | https://opendata.leipzig.de/dataset/?page=1 | https://opendata.muenchen.de/dataset/vornamen-von-neugeborenen
17,Johanna,1184,Jena Open Data | Leipzig Open Data | Muenchen Open Data,https://opendata.jena.de/dataset/vornamen | https://opendata.leipzig.de/dataset/?page=1 | https://opendata.muenchen.de/dataset/vornamen-von-neugeborenen
18,Lukas,1130,Jena Open Data | Leipzig Open Data | Muenchen Open Data,https://opendata.jena.de/dataset/vornamen | https://opendata.leipzig.de/dataset/?page=1 | https://opendata.muenchen.de/dataset/vornamen-von-neugeborenen
19,David,1127,Jena Open Data | Leipzig Open Data | Muenchen Open Data,https://opendata.jena.de/dataset/vornamen | https://opendata.leipzig.de/dataset/?page=1 | https://opendata.muenchen.de/dataset/vornamen-von-neugeborenen
20,Lea,1122,Jena Open Data | Leipzig Open Data | Muenchen Open Data,https://opendata.jena.de/dataset/vornamen | https://opendata.leipzig.de/dataset/?page=1 | https://opendata.muenchen.de/dataset/vornamen-von-neugeborenen
21,Sophie,1113,Jena Open Data | Leipzig Open Data | Muenchen Open Data,https://opendata.jena.de/dataset/vornamen | https://opendata.leipzig.de/dataset/?page=1 | https://opendata.muenchen.de/dataset/vornamen-von-neugeborenen
22,Ella,1106,Jena Open Data | Leipzig Open Data | Muenchen Open Data,https://opendata.jena.de/dataset/vornamen | https://opendata.leipzig.de/dataset/?page=1 | https://opendata.muenchen.de/dataset/vornamen-von-neugeborenen
23,Jonas,1076,Jena Open Data | Leipzig Open Data | Muenchen Open Data,https://opendata.jena.de/dataset/vornamen | https://opendata.leipzig.de/dataset/?page=1 | https://opendata.muenchen.de/dataset/vornamen-von-neugeborenen
